"","PIT","PITYear","Year","Location","Direction","GroundSpeed_mps","Culvert"
"1","228000009905","228000009905-2014","2014","TG-HT","Down",0.659557247101526,"Non-culvert"
"2","228000009905","228000009905-2014","2014","HT-BBI","Down",0.718654866595841,"Non-culvert"
"3","228000009906","228000009906-2014","2014","TG-HT","Down",0.0684299916313904,"Non-culvert"
"4","228000009906","228000009906-2014","2014","HT-BBI","Down",1.05143408725207,"Non-culvert"
"5","228000009908","228000009908-2014","2014","TG-HT","Down",0.473363072805578,"Non-culvert"
"6","228000009908","228000009908-2014","2014","HT-BBI","Down",0.852746122142988,"Non-culvert"
"7","228000009920","228000009920-2014","2014","TG-HT","Down",0.12553499368769,"Non-culvert"
"8","228000009920","228000009920-2014","2014","HT-BBI","Down",0.857223159078134,"Non-culvert"
"9","228000009921","228000009921-2014","2014","TG-HT","Down",0.0190979898627479,"Non-culvert"
"10","228000009921","228000009921-2014","2014","HT-BBI","Down",0.844823861198833,"Non-culvert"
"11","228000009922","228000009922-2014","2014","TG-HT","Down",0.0414461060848947,"Non-culvert"
"12","228000009922","228000009922-2014","2014","HT-BBI","Down",0.592820074237296,"Non-culvert"
"13","228000009923","228000009923-2014","2014","TG-HT","Down",0.264753661292054,"Non-culvert"
"14","228000009923","228000009923-2014","2014","HT-BBI","Down",0.799517668089741,"Non-culvert"
"15","228000009923","228000009923-2015","2015","TG-HT","Up",0.243529639892867,"Non-culvert"
"16","228000009923","228000009923-2015","2015","HT-BBI","Up",0.413730985327651,"Non-culvert"
"17","228000009923","228000009923-2015","2015","HT-BBI","Down",0.583510937479935,"Non-culvert"
"18","228000009923","228000009923-2015","2015","BBI-R6","Up",0.607239942878449,"Non-culvert"
"19","228000009923","228000009923-2015","2015","BBI-R6","Down",0.698569114487704,"Non-culvert"
"20","228000009923","228000009923-2015","2015","VCS-OKH","Up",0.633173637031247,"Non-culvert"
"21","228000009923","228000009923-2015","2015","OKH-HPO","Up",0.524464673949756,"Non-culvert"
"22","228000009923","228000009923-2015","2015","OKH-HPO","Down",0.848787100424328,"Non-culvert"
"23","228000009923","228000009923-2016","2016","HT-BBI","Down",0.541927413714674,"Non-culvert"
"24","228000009923","228000009923-2016","2016","BBI-R6","Up",0.620824617064921,"Non-culvert"
"25","228000009923","228000009923-2016","2016","BP-VCS","Up",0.379164024829771,"Non-culvert"
"26","228000009923","228000009923-2016","2016","OKH-HPO","Up",0.629511658115928,"Non-culvert"
"27","228000009923","228000009923-2016","2016","OKH-HPO","Down",0.537261534396754,"Non-culvert"
"28","228000009924","228000009924-2014","2014","TG-HT","Down",0.104713325812938,"Non-culvert"
"29","228000009924","228000009924-2014","2014","HT-BBI","Down",0.330753097688431,"Non-culvert"
"30","228000009924","228000009924-2014","2014","OKH-HPO","Up",0.61810827579196,"Non-culvert"
"31","228000009925","228000009925-2014","2014","TG-HT","Down",0.0873335294077082,"Non-culvert"
"32","228000009925","228000009925-2014","2014","HT-BBI","Up",0.345814398568765,"Non-culvert"
"33","228000009925","228000009925-2014","2014","HT-BBI","Down",0.887980528543531,"Non-culvert"
