"","AIC","AICc","BIC","LogLik","DF","ModelID","RowID","Variables","deltaAIC","deltaAICc","deltaBIC","AICcRank","BICRank","RelLik","AICcwt"
"1",7103.23897298533,7192.69240389635,7678.11111168296,-3587.24275367231,9,"63",1,"Sex+ Returner+ PrevPasses+ Site+ DaysSincePeak",0.779090748508679,0,5.14443626973389,1,10,1,0.0469220676998198
"2",7103.4233052287,7192.69563052878,7679.4000639579,-3588.26515165934,8,"38",1,"Sex+ PrevPasses+ Site+ DaysSincePeak",0.963422991876541,0.00322663243423449,6.43338854467129,2,14,0.998387984477919,0.0468464285983595
"3",7103.20682501009,7193.18030997672,7681.16135831718,-3588.50749138331,8,"50",1,"Returner+ PrevPasses+ Site+ DaysSincePeak",0.746942773259434,0.48790608037416,8.19468290395162,3,24,0.783524427559489,0.0367645862344089
"4",7102.45988223683,7193.19655362892,7682.1186878072,-3588.51561320941,8,"33",1,"Sex+ Returner+ PrevPasses+ Site",0,0.504149732571932,9.15201239397538,4,30,0.777186550820279,0.0364671999529785
"5",7105.93176655859,7193.37844293744,7672.96667541323,-3588.60655786367,8,"35",1,"Sex+ Returner+ Site+ DaysSincePeak",3.47188432176063,0.686039041090226,0,5,1,0.70962435917069,0.0332970422224483
"6",7103.39190037217,7193.43839849027,7683.10674423864,-3589.65497906165,7,"25",1,"PrevPasses+ Site+ DaysSincePeak",0.93201813534688,0.745994593925388,10.1400688254098,6,34,0.688667094334287,0.0323136840229916
"7",7102.50507328927,7193.57504982548,7684.94092476203,-3589.72330472925,7,"20",1,"Returner+ PrevPasses+ Site",0.0451910524434425,0.882645929134924,11.9742493488011,7,45,0.643184947077053,0.0301795676302545
"8",7103.54439436237,7193.63690593786,7681.73184689822,-3588.73578936388,8,"46",1,"Length+ PrevPasses+ Site+ DaysSincePeak",1.08451212554428,0.94450204151417,8.7651714849917,8,28,0.623596957488858,0.0292604586566938
"9",7106.31147995624,7193.70348722275,7674.69624898725,-3589.78752342789,7,"13",1,"Sex+ Site+ DaysSincePeak",3.85159771941653,1.01108332640433,1.72957357402356,9,2,0.60317876718252,0.028302394948832
"10",7105.85303721232,7193.75396422603,7675.84778450302,-3589.81276192953,7,"22",1,"Returner+ Site+ DaysSincePeak",3.39315497549705,1.06156032968192,2.88110908978888,10,4,0.588145939858542,0.0275970236074166
