"","X1","X2","X3","X4","X5","X6","X7","Variables","VariableCount"
"1","Sex",NA,NA,NA,NA,NA,NA,"Sex",1
"2","Length",NA,NA,NA,NA,NA,NA,"Length",1
"3","Returner",NA,NA,NA,NA,NA,NA,"Returner",1
"4","PrevPasses",NA,NA,NA,NA,NA,NA,"PrevPasses",1
"5","LightCond",NA,NA,NA,NA,NA,NA,"LightCond",1
"6","TurtlePres",NA,NA,NA,NA,NA,NA,"TurtlePres",1
"7","LightCond*DaysSincePeak",NA,NA,NA,NA,NA,NA,"LightCond*DaysSincePeak",1
"8","Sex","Length",NA,NA,NA,NA,NA,"Sex+ Length",2
"9","Sex","Returner",NA,NA,NA,NA,NA,"Sex+ Returner",2
"10","Sex","PrevPasses",NA,NA,NA,NA,NA,"Sex+ PrevPasses",2
"11","Sex","LightCond",NA,NA,NA,NA,NA,"Sex+ LightCond",2
"12","Sex","TurtlePres",NA,NA,NA,NA,NA,"Sex+ TurtlePres",2
"13","Sex","LightCond*DaysSincePeak",NA,NA,NA,NA,NA,"Sex+ LightCond*DaysSincePeak",2
"14","Length","Returner",NA,NA,NA,NA,NA,"Length+ Returner",2
"15","Length","PrevPasses",NA,NA,NA,NA,NA,"Length+ PrevPasses",2
"16","Length","LightCond",NA,NA,NA,NA,NA,"Length+ LightCond",2
"17","Length","TurtlePres",NA,NA,NA,NA,NA,"Length+ TurtlePres",2
"18","Length","LightCond*DaysSincePeak",NA,NA,NA,NA,NA,"Length+ LightCond*DaysSincePeak",2
"19","Returner","PrevPasses",NA,NA,NA,NA,NA,"Returner+ PrevPasses",2
"20","Returner","LightCond",NA,NA,NA,NA,NA,"Returner+ LightCond",2
"21","Returner","TurtlePres",NA,NA,NA,NA,NA,"Returner+ TurtlePres",2
"22","Returner","LightCond*DaysSincePeak",NA,NA,NA,NA,NA,"Returner+ LightCond*DaysSincePeak",2
"23","PrevPasses","LightCond",NA,NA,NA,NA,NA,"PrevPasses+ LightCond",2
"24","PrevPasses","TurtlePres",NA,NA,NA,NA,NA,"PrevPasses+ TurtlePres",2
"25","PrevPasses","LightCond*DaysSincePeak",NA,NA,NA,NA,NA,"PrevPasses+ LightCond*DaysSincePeak",2
"26","LightCond","TurtlePres",NA,NA,NA,NA,NA,"LightCond+ TurtlePres",2
"27","LightCond","LightCond*DaysSincePeak",NA,NA,NA,NA,NA,"LightCond+ LightCond*DaysSincePeak",2
"28","TurtlePres","LightCond*DaysSincePeak",NA,NA,NA,NA,NA,"TurtlePres+ LightCond*DaysSincePeak",2
"29","Sex","Length","Returner",NA,NA,NA,NA,"Sex+ Length+ Returner",3
"30","Sex","Length","PrevPasses",NA,NA,NA,NA,"Sex+ Length+ PrevPasses",3
"31","Sex","Length","LightCond",NA,NA,NA,NA,"Sex+ Length+ LightCond",3
"32","Sex","Length","TurtlePres",NA,NA,NA,NA,"Sex+ Length+ TurtlePres",3
"33","Sex","Length","LightCond*DaysSincePeak",NA,NA,NA,NA,"Sex+ Length+ LightCond*DaysSincePeak",3
"34","Sex","Returner","PrevPasses",NA,NA,NA,NA,"Sex+ Returner+ PrevPasses",3
"35","Sex","Returner","LightCond",NA,NA,NA,NA,"Sex+ Returner+ LightCond",3
"36","Sex","Returner","TurtlePres",NA,NA,NA,NA,"Sex+ Returner+ TurtlePres",3
"37","Sex","Returner","LightCond*DaysSincePeak",NA,NA,NA,NA,"Sex+ Returner+ LightCond*DaysSincePeak",3
"38","Sex","PrevPasses","LightCond",NA,NA,NA,NA,"Sex+ PrevPasses+ LightCond",3
"39","Sex","PrevPasses","TurtlePres",NA,NA,NA,NA,"Sex+ PrevPasses+ TurtlePres",3
"40","Sex","PrevPasses","LightCond*DaysSincePeak",NA,NA,NA,NA,"Sex+ PrevPasses+ LightCond*DaysSincePeak",3
"41","Sex","LightCond","TurtlePres",NA,NA,NA,NA,"Sex+ LightCond+ TurtlePres",3
"42","Sex","LightCond","LightCond*DaysSincePeak",NA,NA,NA,NA,"Sex+ LightCond+ LightCond*DaysSincePeak",3
"43","Sex","TurtlePres","LightCond*DaysSincePeak",NA,NA,NA,NA,"Sex+ TurtlePres+ LightCond*DaysSincePeak",3
"44","Length","Returner","PrevPasses",NA,NA,NA,NA,"Length+ Returner+ PrevPasses",3
"45","Length","Returner","LightCond",NA,NA,NA,NA,"Length+ Returner+ LightCond",3
"46","Length","Returner","TurtlePres",NA,NA,NA,NA,"Length+ Returner+ TurtlePres",3
"47","Length","Returner","LightCond*DaysSincePeak",NA,NA,NA,NA,"Length+ Returner+ LightCond*DaysSincePeak",3
"48","Length","PrevPasses","LightCond",NA,NA,NA,NA,"Length+ PrevPasses+ LightCond",3
